Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
"E5. Foreshore Estate Police station,chennai tamil nadu","Ok, partial match","Foreshore Estate, Chennai, Tamil Nadu, India",13.0247308,80.2774294,"political, sublocality, sublocality_level_1",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"D5. Marina Police station,chennai tamil nadu","Ok, partial match","27QH+MPC, Kamarj Salai, नोची नगर, Mylapore, Chennai, Tamil Nadu 600004, India",13.0391818,80.2792719,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600004,Chennai,India,Tamil Nadu,,,,,
"E4. Abiramapuram Police station,chennai tamil nadu","Ok, partial match","27F3+72C, Pasumpon Muthuramalinga Thevar Rd, RA Puram, Thideer Nagar, Chennai, Tamil Nadu 600028, India",13.0231823,80.2525266,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Pasumpon Muthuramalinga Thevar Road,600028,Chennai,India,Tamil Nadu,,,,,
"J2. Kotturpuram Police station,chennai tamil nadu","Ok, partial match","268R+WFP, Duraisamy Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.0173383,80.2412147,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600085,Chennai,India,Tamil Nadu,,,,,
"E2. Royapettah Police station,chennai tamil nadu","2 found, use single geocode.","Royapettah Police Station, Royapettah High Rd, Ganapathy Colony, Royapettah, Chennai, Tamil Nadu 600014, India",13.051897,80.263953,"bus_station, establishment, point_of_interest, transit_station",GEOMETRIC_CENTER,,Royapettah High Road,600014,Chennai,India,Tamil Nadu,,,3727+QH,"3727+QH Chennai, Tamil Nadu, India",7M523727+QH
"D3. Ice House Police station,chennai tamil nadu","Ok, partial match","1, Dr Natesan Rd, Mirsahibpet, Triplicane, Chennai, Tamil Nadu 600005, India",13.0521549,80.2739286,"establishment, point_of_interest, police",ROOFTOP,1,Doctor Natesan Road,600005,Chennai,India,Tamil Nadu,,,372F+VH,"372F+VH Chennai, Tamil Nadu, India",7M52372F+VH
"E-6 Govt. Royapettah Hosp Police station,chennai tamil nadu","Ok, partial match","GOVERNMENT ROYAPETTAH HOSPITAL, Royapettah, Chennai, Tamil Nadu 600014",13.0546987,80.265062,premise,GEOMETRIC_CENTER,,,600014,Chennai,India,Tamil Nadu,,,,,
"S1. St.Thomas Mount Police station,chennai tamil nadu","Ok, partial match","Railway Station Road, X6X2+M27, सदर्न रेलवे, Alandur, Chennai, Tamil Nadu 600016, India",12.9991583,80.2000434,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,सदर्न रेलवे,600016,Chennai,India,Tamil Nadu,,,,,
"S4. Nandampakkam Police station,chennai tamil nadu","Ok, partial match","23, Mount Poonamallee Rd, IDPL Colony, Tulasingapuram, Nandambakkam, Tamil Nadu 600089, India",13.0160993,80.1894138,"establishment, point_of_interest, police",ROOFTOP,23,Mount Poonamallee Road,600089,Nandambakkam,India,Tamil Nadu,,,258Q+CQ,"258Q+CQ Nandambakkam, Tamil Nadu, India",7M52258Q+CQ
"S9. Palavanthangal Police station,chennai tamil nadu","Ok, partial match","Palavanthangal, X5MP+P7X, Nanganallur, Chennai, Tamil Nadu 600061, India",12.9843513,80.1857399,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600061,Chennai,India,Tamil Nadu,,,,,
"S2. Airport Police station,chennai tamil nadu",Ok,"S2 Airport Police Station, Chennai - Theni Hwy, Meenambakkam, Chennai, Tamil Nadu 600016, India",12.9803468,80.1608827,premise,GEOMETRIC_CENTER,,Chennai - Theni Highway,600016,Chennai,India,Tamil Nadu,,,,,
"S3. Meenambakkam Police station,chennai tamil nadu","Ok, partial match","X5PF+HX2, Meenambakkam, Chennai, Tamil Nadu 600027, India",12.9863982,80.1748837,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600027,Chennai,India,Tamil Nadu,,,,,
"S5. Pallavaram Police station,chennai tamil nadu","Ok, partial match","X4CX+M9W, Pallavaram, Chennai, Tamil Nadu 600043, India",12.9717356,80.1484656,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600043,Chennai,India,Tamil Nadu,,,,,
